Series,Year,Month,Adj Close
1,1986,3,0.060979943722486496
2,1986,3,0.06315764784812927
3,1986,3,0.06424713879823685
4,1986,3,0.06261318922042847
5,1986,3,0.06152436509728432
6,1986,3,0.05989109352231026
7,1986,3,0.058257780969142914
8,1986,3,0.05662450194358826
9,1986,3,0.0577133372426033
10,1986,3,0.059346623718738556
11,1986,3,0.06043548882007599
12,1986,3,0.05989109352231026
13,1986,4,0.059346623718738556
14,1986,4,0.05989109352231026
15,1986,4,0.06043548882007599
16,1986,4,0.06043548882007599
17,1986,4,0.059346623718738556
18,1986,4,0.05989109352231026
19,1986,4,0.060979943722486496
20,1986,4,0.06152436509728432
21,1986,4,0.06261318922042847
22,1986,4,0.06315764784812927
23,1986,4,0.06315764784812927
24,1986,4,0.06533601135015488
25,1986,4,0.0658804178237915
26,1986,4,0.06370270997285843
27,1986,4,0.06370270997285843
28,1986,4,0.06261318922042847
29,1986,4,0.06288543343544006
30,1986,4,0.0691470056772232
31,1986,4,0.07350308448076248
32,1986,4,0.0740474984049797
33,1986,4,0.07186915725469589
34,1986,4,0.07023586332798004
35,1986,5,0.0691470056772232
36,1986,5,0.0691470056772232
37,1986,5,0.06860257685184479
38,1986,5,0.0691470056772232
39,1986,5,0.0691470056772232
40,1986,5,0.06969145685434341
41,1986,5,0.0691470056772232
42,1986,5,0.06969145685434341
43,1986,5,0.07023586332798004
44,1986,5,0.06969145685434341
45,1986,5,0.06969145685434341
46,1986,5,0.07023586332798004
47,1986,5,0.0691470056772232
48,1986,5,0.06860257685184479
49,1986,5,0.06751371175050735
50,1986,5,0.06751371175050735
51,1986,5,0.06751371175050735
52,1986,5,0.06969145685434341
53,1986,5,0.07186915725469589
54,1986,5,0.07350308448076248
55,1986,5,0.07622520625591278
56,1986,6,0.0740474984049797
57,1986,6,0.0740474984049797
58,1986,6,0.07350308448076248
59,1986,6,0.07459191977977753
60,1986,6,0.07459191977977753
61,1986,6,0.07132473587989807
62,1986,6,0.07132473587989807
63,1986,6,0.07132473587989807
64,1986,6,0.06860257685184479
65,1986,6,0.06860257685184479
66,1986,6,0.06805815547704697
67,1986,6,0.0691470056772232
68,1986,6,0.06860257685184479
69,1986,6,0.06805815547704697
70,1986,6,0.06833037734031677
71,1986,6,0.0691470056772232
72,1986,6,0.06860257685184479
73,1986,6,0.06751371175050735
74,1986,6,0.06533601135015488
75,1986,6,0.06479158252477646
76,1986,6,0.06696927547454834
77,1986,7,0.06696927547454834
