Date,APA,BA,BAX,BMY,CMCSA,CNP,CPB,DE,HPQ,JCI,JPM,LUV,MMC,MO,MSFT,NI,PCAR,PSA,SEE,T,TGT,TMO,TXT,VZ,ZION
2010-01-04,87.07360076904297,43.777557373046875,25.069948196411133,16.98072052001953,6.627732753753662,8.68185043334961,23.001300811767578,43.16433334350586,17.163501739501953,12.59498405456543,30.742656707763672,10.363510131835938,16.457286834716797,9.596644401550293,23.683073043823242,3.895810604095459,24.162702560424805,50.64047622680664,17.566246032714844,8.078254699707031,34.68830490112305,45.410282135009766,18.502897262573242,16.828815460205078,11.128117561340332
2010-01-05,88.10166931152344,45.21133804321289,24.897907257080078,16.7157039642334,6.537901401519775,8.616076469421387,23.04204559326172,43.00262451171875,17.23549461364746,12.532480239868164,31.33814239501953,10.910419464111328,16.058456420898438,9.601491928100586,23.690723419189453,3.8857622146606445,24.598304748535156,51.057594299316406,17.38276481628418,8.038680076599121,34.81691360473633,45.563255310058594,18.153045654296875,16.859161376953125,11.52048110961914
2010-01-06,89.48341369628906,46.58279800415039,24.983922958374023,16.709075927734375,6.491039276123047,8.532370567321777,22.783987045288086,42.88714599609375,17.07515525817871,12.490808486938477,31.51032257080078,10.585981369018555,16.547592163085938,9.742121696472168,23.545326232910156,3.840550661087036,24.92171287536621,50.747920989990234,17.047706604003906,7.959714412689209,35.481388092041016,45.99344253540039,18.784717559814453,16.374387741088867,12.522266387939453
2010-01-07,88.12635803222656,48.46855545043945,25.388208389282227,16.722322463989258,6.627732753753662,8.616076469421387,22.437641143798828,43.19512939453125,17.081695556640625,12.581096649169922,32.13451385498047,10.743569374084473,16.75827980041504,9.727570533752441,23.300466537475586,3.7928261756896973,25.251707077026367,50.67839813232422,17.223220825195312,7.870342254638672,35.91721725463867,45.99344253540039,19.62045669555664,16.276926040649414,13.924761772155762
2010-01-08,87.66577911376953,48.00100326538086,25.44841957092285,16.444067001342773,6.6082024574279785,8.514430046081543,22.295026779174805,44.37317657470703,17.209318161010742,12.622761726379395,32.055599212646484,10.502554893493652,16.675514221191406,9.751822471618652,23.46116065979004,3.7727324962615967,25.284704208374023,49.75571823120117,17.29501724243164,7.812684535980225,35.774322509765625,46.7678108215332,19.80508804321289,16.28717613220215,13.69935417175293
2010-01-11,87.9289779663086,47.43217849731445,25.30219078063965,16.616323471069336,6.565241813659668,8.574223518371582,22.362945556640625,46.15949249267578,17.156963348388672,12.94918441772461,31.947978973388672,10.623062133789062,16.61531639099121,9.824559211730957,23.1627254486084,3.8204562664031982,25.70050048828125,50.09696578979492,17.287036895751953,7.775203704833984,35.852909088134766,47.322296142578125,20.864343643188477,16.353862762451172,13.78283405303955
2010-01-12,86.59656524658203,47.08930969238281,25.70217514038086,16.43743896484375,6.4480791091918945,8.628035545349121,22.627788543701172,44.188385009765625,17.00642967224121,12.931819915771484,31.201828002929688,10.502554893493652,16.449758529663086,9.771217346191406,23.00969123840332,3.833015203475952,25.627910614013672,49.281742095947266,17.15142059326172,7.772321701049805,35.25274658203125,46.538368225097656,20.728294372558594,16.369258880615234,13.398823738098145
2010-01-13,87.85494232177734,47.65814208984375,25.96453094482422,16.556697845458984,6.54962158203125,8.699787139892578,22.967344284057617,44.8813591003418,17.08823585510254,12.813758850097656,31.74709129333496,10.687944412231445,16.449758529663086,9.814859390258789,23.22394371032715,3.8932971954345703,25.74010467529297,50.25498962402344,17.15142059326172,7.6800689697265625,35.25274658203125,46.55747604370117,20.329862594604492,16.348735809326172,13.649270057678223
2010-01-14,88.33197021484375,47.9698486328125,26.540851593017578,16.596452713012695,6.510565757751465,8.7416410446167,22.85189437866211,44.92754364013672,17.183134078979492,12.945713996887207,32.06277084350586,10.623062133789062,16.547592163085938,9.882750511169434,23.690723419189453,3.8983216285705566,25.693906784057617,50.00218963623047,17.00782585144043,7.5503363609313965,35.795745849609375,46.28981399536133,22.147106170654297,16.015302658081055,13.949799537658691
2010-01-15,88.54579162597656,47.39320373535156,26.480642318725586,16.60970115661621,6.494941234588623,8.735660552978516,22.4036808013916,43.372196197509766,17.1700496673584,13.035998344421387,31.33814239501953,10.456204414367676,16.457286834716797,9.90214729309082,23.614206314086914,3.840550661087036,25.08010482788086,49.90737533569336,16.848283767700195,7.43502140045166,35.84575653076172,45.6492805480957,21.262784957885742,15.686992645263672,13.57413387298584
2010-01-19,89.15441131591797,47.26074981689453,26.424728393554688,16.993968963623047,6.565241813659668,8.861225128173828,22.444433212280273,44.396270751953125,17.26167869567871,13.261714935302734,31.051166534423828,10.474742889404297,16.570165634155273,9.882750511169434,23.797855377197266,3.8983216285705566,25.350704193115234,50.962772369384766,17.279056549072266,7.553223133087158,36.581695556640625,46.81562042236328,22.331745147705078,16.020431518554688,14.28372573852539
2010-01-20,87.68021392822266,46.91007995605469,26.14946746826172,16.868085861206055,6.451982498168945,8.88514518737793,22.32219123840332,43.202823638916016,17.084962844848633,13.244355201721191,31.137264251708984,10.502554893493652,16.41966438293457,9.858503341674805,23.407596588134766,3.883249282836914,24.882102966308594,50.40032196044922,17.031763076782227,7.4465556144714355,36.23872756958008,46.624420166015625,21.680648803710938,15.753681182861328,14.95993423461914
